25		
75		
0	4	
1	3	
2	3	
3	5	
4	5	
5	5	
6	5	
7	4	
8	6	
9	6	
10	7	
11	4	
12	3	
13	5	
14	5	
15	6	
16	7	
17	5	
18	3	
19	3	
20	6	
21	3	
22	3	
23	7	
24	7	
0	1	17
0	2	11
0	3	25
0	6	21
0	8	19
0	10	16
0	12	23
0	13	12
1	3	21
1	4	24
1	6	21
1	16	25
1	20	12
2	6	23
2	10	19
2	17	20
2	19	12
2	21	17
3	4	11
3	7	22
3	10	14
3	12	24
3	18	20
4	7	12
4	11	24
4	12	21
4	15	15
5	8	11
5	13	19
5	16	12
5	20	19
6	9	15
6	17	15
6	23	21
7	8	20
7	11	20
7	17	19
8	9	18
8	18	11
8	21	23
9	12	19
9	13	21
10	11	16
10	18	12
11	12	23
11	14	17
11	19	15
12	16	24
12	18	11
12	21	20
13	14	16
13	15	17
13	19	22
14	17	24
14	19	15
14	21	19
15	16	21
15	22	22
15	23	23
15	24	17
16	17	14
16	20	24
16	21	12
17	18	14
17	21	16
17	24	19
18	19	25
18	24	12
19	22	15
19	23	24
20	22	25
21	22	24
21	23	21
22	24	13
23	24	16
