20		
50		
0	10	
1	10	
2	10	
3	3	
4	6	
5	2	
6	1	
7	1	
8	2	
9	3	
10	5	
11	10	
12	6	
13	1	
14	9	
15	4	
16	9	
17	1	
18	6	
19	4	
0	1	11
0	2	10
0	4	14
0	6	5
0	13	3
1	4	11
1	7	20
1	9	8
1	11	7
1	16	18
2	3	17
2	8	20
2	13	8
2	16	7
3	4	16
3	5	15
3	11	6
3	19	3
4	6	11
4	7	11
4	10	9
5	13	9
5	16	9
5	17	17
6	9	11
6	11	12
7	10	20
7	12	12
8	16	15
8	17	19
9	11	19
9	13	7
10	11	11
10	14	12
10	17	18
11	13	1
11	16	11
12	15	11
13	16	14
13	17	3
13	19	9
14	17	19
15	16	12
15	18	15
15	19	16
16	17	2
16	18	1
17	18	1
17	19	15
18	19	10
